----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;PPO Random;20284,52829436602;38875,685591604306;46613,26670584933

Avg WT-Idle per Task
;Base;3236714,50167319;3151482,3021737467;3039434,7869412843
;Reference;242480,18086860073;1170216,3060536508;2682811,3464556527
;Reference Random;256985,70929883147;1396346,3473471527;2682811,3464556527
;Reference Optimos;231419,62865183633;1014192,5987320238;3623401,503564656
;SA;230620,4562611886;1993631,59663071;3502750,218317401
;Tabu Search;254261,4615375567;1265110,9462028586;2587978,489664514
;PPO;241627,90126113553;1111061,7383650024;2820463,7989720614
;Tabu Random;141503,54696301697;1745598,3184004282;2573870,9567537378
;SA Random;274756,629223004;1396346,3473471527;2682811,3464556527
;PPO Random;173483,22130943046;2981727,9532851223;2812766,6993246377

----------------------------------------
Sheet: Bpic2019 Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;590;593;501
;Tabu Search;175;345;424
;PPO;2018;0;640
;Tabu Search Random;154;6;39
;Simulated Annealing Random;867;346;253
;PPO Random;4076;1999;0

# Solutions
;Total Unique;21660;19037;18176
;Total Unique Random;6497;2852;750
;Total Unique Optimos;15163;16185;17426
;SA;10009;10011;9280
;Tabu Search;3547;6367;7996
;PPO;2019;1;641
;Tabu Random;483;39;138
;SA Random;2643;1059;715
;PPO Random;4077;2001;1

# Invalid Solutions Ratio
;Total;0,01592797783933518;0,004990282082260861;0,004456426056338028
;Total Random;0,05310143142989072;0,033309957924263674;0,09866666666666667
;Total Optimos;0,0;0,0;0,0004016986112705153
;SA;0,02018183634728744;0,01997802417340925;0,020797413793103448
;Tabu Search;0,010713278827177897;0,015077744620700486;0,020135067533766884
;PPO;0,0009905894006934125;0,0;0,0124804992199688
;Tabu Random;0,3167701863354037;0,1282051282051282;0,2463768115942029
;SA Random;0,40749148694665155;0,39943342776203966;0,4153846153846154
;PPO Random;0,0004905567819475104;0,0004997501249375312;0,0

Pareto Size
;Reference;22;20;21
;Reference Random;19;16;6
;Reference Optimos;15;12;21
;SA;6;7;12
;Tabu Search;2;8;20
;PPO;19;1;3
;Tabu Random;1;1;5
;SA Random;8;9;2
;PPO Random;21;19;1

Hyperarea Ratio
;Reference Random;0,9999905304321854;0,9993157332919167;0,9997455672619947
;Reference Optimos;0,9979371910953712;0,9712736572011272;0,9999999904752723
;SA;0,9781603465051917;0,9649640107685449;0,998053305289656
;Tabu Search;0,9893293230664212;0,9712736572011272;0,9980763805207715
;PPO;0,9972832181157792;0,946834587710651;0,9999772547429778
;Tabu Random;0,9904412986719767;0,9619316627438952;0,997998215147582
;SA Random;0,9942626987958081;0,991683570744371;0,999733153105264
;PPO Random;0,9988602634461793;0,9990709970837875;0,997662236750632

Hausdorff
;Reference Random;436,4704490379893;14889,610389509875;12286,7124237197
;Reference Optimos;6464,992060874346;407081,79492049187;1066,539126483961
;SA;30437,75904491983;406714,23054027016;2827,9304293415425
;Tabu Search;36522,1873955992;407081,79492049187;4007,4170224869167
;PPO;7252,586951950647;411160,14192114345;10129,557353340211
;Tabu Random;36850,45250024074;409332,3762083441;3515,979115801364
;SA Random;20186,0702208161;432142,0330461389;24029,73669755562
;PPO Random;7483,514268391882;20502,261220299748;25058,47433221399

Delta
;Reference Random;0,7773615716978336;1,2565875607040033;1,0738048951528116
;Reference Optimos;1,1847322549179786;0,9984762992829406;0,8623791846221137
;SA;0,9607850425118706;0,9974054656260221;0,8682167892068198
;Tabu Search;0,9641849240827427;0,9984762992829406;0,7313893557983356
;PPO;1,0749101168491635;0,0;0,9473925116534333
;Tabu Random;0,0;0,0;0,7569522620352395
;SA Random;1,0777802564264545;1,492078644827064;0,5319122934439039
;PPO Random;0,8956668583886223;1,310326135811358;0,0

Purity
;Reference Random;0,8636363636363636;0,4;0,047619047619047616
;Reference Optimos;0,13636363636363635;0,6;0,9523809523809523
;SA;0,0;0,0;0,38095238095238093
;Tabu Search;0,045454545454545456;0,6;0,42857142857142855
;PPO;0,09090909090909091;0,0;0,14285714285714285
;Tabu Random;0,045454545454545456;0,0;0,0
;SA Random;0,13636363636363635;0,0;0,047619047619047616
;PPO Random;0,6818181818181818;0,4;0,0

Avg Cycle Time
;Base;1043060,174024;1000679,999013;991869,53673
;Reference;13254654,926291822;155539098,79358807;5729997,503491429
;Reference Random;13562132,095673842;197451477,36377794;4099719,9482856668
;Reference Optimos;14429898,920180533;4418830,868622334;5670829,806286
;SA;1507097,8836658336;1956373,348227714;2093072,0254104547
;Tabu Search;1589905,742561;4418830,868622334;3806304,863350666
;PPO;11638988,732957685;956771,677651;20860614,862373665
;Tabu Random;1746895,251595;2076818,410722;2480043,5213554003
;SA Random;2499499,1483727503;199021926,36529014;6599391,040975
;PPO Random;12219507,065246237;179002555,71045017;991869,53673

Best Cycle Time
;Base;1043060,174024;1000679,999013;991869,53673
;Reference;1067163,664978;3042646,837353;1000619,999013
;Reference Random;1067163,664978;2048507,774271;2229581,591986
;Reference Optimos;1371193,291516;3042646,837353;1000619,999013
;SA;1063109,405089;1544374,978379;1000619,999013
;Tabu Search;1371193,291516;3042646,837353;1406989,107841
;PPO;1082014,128693;956771,677651;5143888,244516
;Tabu Random;1746895,251595;2076818,410722;1000679,999013
;SA Random;1067163,664978;2048507,774271;3358981,998882
;PPO Random;1690399,182244;2151928,195493;991869,53673

Best Batch Processing per Task
;Base;6834,3062769129665;6689,021007746289;6754,900907226324
;Reference;19,62149131840875;397,86272317437357;622,4666801217983
;Reference Random;19,62149131840875;397,86272317437357;1289,1718424196001
;Reference Optimos;274,65552213589564;4137,612639313632;622,4666801217983
;SA;2674,7911080936037;4860,558265047307;5813,412968794616
;Tabu Search;1344,118143035304;4137,612639313632;5753,880179046786
;PPO;274,65552213589564;7008,969276205321;622,4666801217983
;Tabu Random;1205,1836747641544;5195,0475502451345;5950,384715741918
;SA Random;710,5654125013475;1215,1572575429682;1289,1718424196001
;PPO Random;19,62149131840875;397,86272317437357;6754,900907226324

Best WT-Idle per Task
;Base;63124,91835798518;63713,962598371254;87585,95010889044
;Reference;7859,271049746409;19788,52041768429;39960,63557026027
;Reference Random;8067,765409904423;34565,40562070723;45475,5764278807
;Reference Optimos;7859,271049746409;19788,52041768429;39960,63557026027
;SA;17427,83198442341;29834,534562592307;40890,06000649332
;Tabu Search;7859,271049746409;19788,52041768429;41980,26044276324
;PPO;22196,093955409593;45740,25721067035;67806,23648164784
;Tabu Random;8067,765409904423;37198,83252684235;45475,5764278807
