----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;Tabu Random;27420,162165320242;484183,7070564156;672983,2128228599
;SA Random;949,0041129998043;387,52242633172045;481,3127572991887
;PPO Random;52,872113684214995;2501,5991244344655;545,972099545525

Avg Batch Processing per Task
;Base;5616,119578882064;5493,551672953657;5988,204512152734
;Reference;1,554958414395176;52,39713664619437;40,10599943750895
;Reference Random;7,76315926161476;57,1197135461714;51,630393320011144
;Reference Optimos;1,554958414395176;60,0941494691743;39,53006331430249
;SA;630,7009776757106;2993,3798610798435;4919,352704184172
;Tabu Search;394,56373899004836;2563,421495656018;5408,308208247644
;PPO;1,554958414395176;60,0941494691743;39,53006331430249
;Tabu Random;535,0271882464084;4023,7824811131427;1886,2382430218913
;SA Random;55,41617090787832;57,890406413032665;49,792253091391515
;PPO Random;7,76315926161476;58,79499152604466;67,63103259196322

Avg WT-Idle per Task
;Base;652728,4021586152;646583,128600121;753581,5599121194
;Reference;26331,022972999854;35721,62242660611;21438,632777727784
;Reference Random;1627,8750854636091;31620,61260317527;34011,08230511526
;Reference Optimos;26331,022972999854;387,3864889871705;19377,813504799433
;SA;78246,65139169687;374720,964137479;549580,2752677151
;Tabu Search;39471,602039032536;318849,42315800796;614175,6672436304
;PPO;26331,022972999854;387,3864889871705;19377,813504799433
;Tabu Random;34133,73630543916;496273,30361860106;1201038,7339981953
;SA Random;65764,45522930985;42550,89406937421;39298,507009495894
;PPO Random;1627,8750854636091;19795,364842704785;1393,0628629844205

----------------------------------------
Sheet: Bpi Challenge 2012
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;601;641;564
;Tabu Search;389;132;167
;PPO;9999;9999;9999
;Tabu Search Random;21;44;61
;Simulated Annealing Random;306;254;241
;PPO Random;9999;9999;9999

# Solutions
;Total Unique;32077;26542;25050
;Total Unique Random;8554;7831;8033
;Total Unique Optimos;23523;18711;17017
;SA;10003;10016;8544
;Tabu Search;6932;2506;2943
;PPO;10001;10001;10001
;Tabu Random;70;139;190
;SA Random;925;769;730
;PPO Random;10001;10001;10001

# Invalid Solutions Ratio
;Total;0,09745300370982324;0,15142039032476828;0,13293413173652693
;Total Random;0,17874678512976386;0,23458051334440047;0,16121000871405453
;Total Optimos;0,06789100029758109;0,11661589439367218;0,1195862960568843
;SA;0,045386384084774564;0,0694888178913738;0,05337078651685393
;Tabu Search;0,08064050778995961;0,05826017557861133;0,10091743119266056
;PPO;0,101989801019898;0,17538246175382463;0,17478252174782521
;Tabu Random;0,5;0,3597122302158273;0,34210526315789475
;SA Random;0,4962162162162162;0,5578673602080624;0,4849315068493151
;PPO Random;0,1346865313468653;0,16768323167683233;0,12088791120887911

Pareto Size
;Reference;58;46;38
;Reference Random;37;39;33
;Reference Optimos;53;40;35
;SA;39;35;26
;Tabu Search;35;17;25
;PPO;46;41;22
;Tabu Random;8;15;16
;SA Random;26;20;18
;PPO Random;41;38;28

Hyperarea Ratio
;Reference Random;0,9815088882555201;0,998268742419292;0,9999993022752205
;Reference Optimos;0,9997045074933848;0,9930625496792681;0,9998327577894649
;SA;0,9592934604352569;0,9732184260918152;0,9987371592924155
;Tabu Search;0,9202223951720242;0,9353022076942485;0,9990515460861983
;PPO;0,9979879114938934;0,9924298626029376;0,9998289848676654
;Tabu Random;0,6761999386383646;0,948190876077623;0,9999955914046139
;SA Random;0,8594920668334981;0,9459917527759785;0,999432633222256
;PPO Random;0,9813354708845462;0,9981122517259347;0,999909494280171

Hausdorff
;Reference Random;9987,181028143386;3703,215648254531;3415,359271454661
;Reference Optimos;272,3603959662582;5523,629645872971;10161,032268094761
;SA;15408,615742957769;5939,532249759401;29585,144135253027
;Tabu Search;9883,801982993946;6427,540762178571;29616,946672215214
;PPO;306,3969765140529;5514,855724451149;10727,282094937082
;Tabu Random;15738,853321588133;7245,996920600221;15877,690038052622
;SA Random;17805,241211629665;6174,274188370919;22952,28068814343
;PPO Random;9989,723743554996;3703,293378353665;11101,330379847714

Delta
;Reference Random;0,989191171419855;1,2491408332601261;1,230168473378189
;Reference Optimos;1,6568580473089898;1,151664414195837;1,1570852264566458
;SA;1,029201409129575;1,0405498845724725;1,038035268208649
;Tabu Search;1,0340977697201608;1,1640561637180098;1,0061213677791734
;PPO;1,6386799055626047;1,142160411678308;1,008414136540556
;Tabu Random;1,193297762125225;1,048924298694826;1,4380659698867273
;SA Random;1,2734133364154867;1,1150250471368972;1,03236656374041
;PPO Random;0,9971536875752549;1,249706324745873;1,1285950558205162

Purity
;Reference Random;0,27586206896551724;0,45652173913043476;0,3684210526315789
;Reference Optimos;0,7241379310344828;0,5434782608695652;0,631578947368421
;SA;0,1896551724137931;0,2391304347826087;0,23684210526315788
;Tabu Search;0,1724137931034483;0,08695652173913043;0,34210526315789475
;PPO;0,3275862068965517;0,21739130434782608;0,05263157894736842
;Tabu Random;0,0;0,0;0,10526315789473684
;SA Random;0,0;0,0;0,07894736842105263
;PPO Random;0,25862068965517243;0,45652173913043476;0,18421052631578946

Avg Cycle Time
;Base;1218264,579931;1218354,448563;1218264,59796
;Reference;1231617,4541691036;1393767,165412783;2425820,4348829477
;Reference Random;1212931,148230919;1436835,7137793596;3367277,375662424
;Reference Optimos;1233554,6517730379;1435539,3398292;5363983,2433966845
;SA;1304858,7652432106;1369175,1079547945;1426754,0395712596
;Tabu Search;1228740,8294110312;1356749,3928111766;1568009,152052143
;PPO;1221187,5313952444;1431114,3794277103;6589850,993627222
;Tabu Random;1259535,8417143999;1370966,5586529335;1784573,1309171666
;SA Random;1353113,819694;1371905,302649909;1606825,5067237057
;PPO Random;1212012,2350565;1433278,0554408978;4959761,616002223

Best Cycle Time
;Base;1218264,579931;1218354,448563;1218264,59796
;Reference;1166893,726783;1170000,0;1166304,575445
;Reference Random;1163321,384827;1170000,0;1166304,575445
;Reference Optimos;1163504,067584;1210386,513072;1170135,162676
;SA;1209128,120292;1213770,440181;1210526,410778
;Tabu Search;1211702,72332;1213581,207718;1217329,577688
;PPO;1163504,067584;1170003,630139;1170000,0
;Tabu Random;1170000,0;1170000,0;1211329,387145
;SA Random;1170000,0;1170000,0;1211040,392273
;PPO Random;1163321,384827;1170000,0;1166304,575445

Best Batch Processing per Task
;Base;574,1955203478532;585,3344292711331;567,1319930465207
;Reference;9,848839154617652;41,68734015354414;103,3984152392355
;Reference Random;32,541234955778506;41,68734015354414;103,3984152392355
;Reference Optimos;9,848839154617652;59,35067189432782;125,74831046522527
;SA;38,89245254917628;105,74780196935728;273,92419020629814
;Tabu Search;84,11983448187173;216,93989958707607;231,57106929707695
;PPO;9,848839154617652;59,35067189432782;125,74831046522527
;Tabu Random;283,82843209927654;158,88564019627287;103,3984152392355
;SA Random;104,25143721270896;172,25554173900792;179,7261767049679
;PPO Random;34,899560710761776;41,68734015354414;115,45584745537944

Best WT-Idle per Task
;Base;1146,9900826107398;1074,4683909010046;1086,4404797843465
;Reference;1028,2951514137774;1019,0995925581722;831,4709591210755
;Reference Random;1057,4866545113855;1067,882129227333;831,4709591210755
;Reference Optimos;1028,2951514137774;1019,0995925581722;931,4259612153091
;SA;1094,038688087986;1019,0995925581722;964,3321470390899
;Tabu Search;1146,9900826107398;1241,8423627855109;931,4259612153091
;PPO;1215,6939861963267;1309,4880424591004;1101,2874854501815
;Tabu Random;1146,9900826107398;1067,882129227333;916,7798463284025
;SA Random;1275,3478653857514;1074,4683909010046;995,7198226906863
;PPO Random;1215,6939861963267;1190,6511798394856;831,4709591210755

Avg Batch Processing per Task
;Base;574,1955203478532;585,3344292711331;567,1319930465207
;Reference;184,10429075115587;356,10834190618795;334,4006337761907
;Reference Random;193,08561531363875;338,64844462876897;315,67764575403515
;Reference Optimos;186,12793094050377;360,17799193790216;381,81142637547373
;SA;187,69910672538248;332,79426210414084;456,2905319998597
;Tabu Search;261,5367465391605;362,5938915859417;394,7541050489252
;PPO;152,3563318684644;366,70886028994755;368,5193339761052
;Tabu Random;412,3494917499088;390,3470768193821;373,58583166521527
;SA Random;298,2203796065937;407,5142417950931;377,8666228075924
;PPO Random;211,9048731715696;342,52402559382455;334,33418800675236

Avg WT-Idle per Task
;Base;1146,9900826107398;1074,4683909010046;1086,4404797843465
;Reference;11185,277533410826;13545,412716056544;59517,10114578335
;Reference Random;7387,118912449984;22675,40771727729;72504,27129129008
;Reference Optimos;11098,912540285788;14278,182259554163;42954,97512964973
;SA;22963,271628643924;28337,500306294856;18213,27897323466
;Tabu Search;4267,7960031369075;22857,564700076015;25291,309849445814
;PPO;12963,033852182814;14473,786659410824;64906,796899900895
;Tabu Random;15623,879317300738;33025,76024030163;59965,61160269215
;SA Random;37920,232850968794;25006,381141252677;49347,53690536908
;PPO Random;6965,161136154173;22667,432184905287;74186,82472857468

----------------------------------------
Sheet: Consulta Data Mining
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;504;537;536
;Tabu Search;496;507;209
;PPO;5999;7999;7999
;Tabu Search Random;200;28;24
;Simulated Annealing Random;655;474;356
;PPO Random;5999;7999;8999

# Solutions
;Total Unique;25477;28774;26108
;Total Unique Random;6285;6226;7838
;Total Unique Optimos;19192;22548;18270
;SA;10022;10003;10021
;Tabu Search;10019;10004;3903
;PPO;6001;8001;8001
;Tabu Random;621;105;93
;SA Random;1986;1443;1094
;PPO Random;6001;8001;9001

# Invalid Solutions Ratio
;Total;0,3099658515523806;0,24122471675818447;0,11525203002910984
;Total Random;0,3003977724741448;0,42001284934147126;0,08803266139321256
;Total Optimos;0,31309920800333474;0,19185737094199043;0,12703886152162014
;SA;0,08950309319497106;0,10276916924922523;0,10368226723879852
;Tabu Search;0,3762850583890608;0,14424230307876848;0,03996925441967717
;PPO;0,28061989668388604;0,2837145356830396;0,18635170603674542
;Tabu Random;0,47020933977455714;0,2761904761904762;0,27956989247311825
;SA Random;0,4798590130916415;0,5232155232155232;0,43875685557586835
;PPO Random;0,21946342276287287;0,2879640044994376;0,061659815576047106

Pareto Size
;Reference;77;32;24
;Reference Random;50;25;21
;Reference Optimos;77;30;28
;SA;26;19;6
;Tabu Search;42;21;13
;PPO;50;28;30
;Tabu Random;29;10;9
;SA Random;34;21;10
;PPO Random;34;15;16

Hyperarea Ratio
;Reference Random;0,977423926242565;0,9858127948746604;0,9996841186727428
;Reference Optimos;0,9999891185497385;0,9562572686196534;0,9900648793239445
;SA;0,7318807027153553;0,6962436892791909;0,9666854908094105
;Tabu Search;0,8708721321065256;0,9559536209822316;0,9772478090734258
;PPO;0,9854625663274015;0,823024398455107;0,9899877862255121
;Tabu Random;0,8844109847251932;0,6254589060614066;0,970714675737141
;SA Random;0,813658872758801;0,98406147667875;0,9997246881627158
;PPO Random;0,9700154758027529;0,6143838806233576;0,9787790587986185

Hausdorff
;Reference Random;2833,5847243748303;1319,0285693734281;18702,874781309576
;Reference Optimos;3,080581523762827;90263,12090170798;35620,69901635649
;SA;7078,894094025406;90612,62609267347;78466,38507451979
;Tabu Search;11310,390977843763;90300,64724924024;62127,93457809603
;PPO;981,754785423265;92517,9457595158;36111,283417082
;Tabu Random;4486,88553630841;91019,64161635812;56746,92053552143
;SA Random;38498,23020134831;1372,921776489861;19515,425887804842
;PPO Random;3219,771355527444;93659,11884490782;69173,02357944079

Delta
;Reference Random;1,1175544498254333;1,71540213611525;1,5963699646524787
;Reference Optimos;1,1969996775789165;1,014123128677667;1,0906626823545538
;SA;1,046927274693145;1,0165084574949916;1,0103474801780814
;Tabu Search;0,9548883082716285;1,0124931480215593;1,032850665215998
;PPO;1,1080259190938997;1,0053413202141606;1,0554982123244074
;Tabu Random;0,97851161405575;1,0230491027820061;1,0021924894947072
;SA Random;1,3793253440202602;1,6326697430104489;1,4877919722848332
;PPO Random;1,008695193345913;1,0027976631025186;0,989019525543075

Purity
;Reference Random;0,012987012987012988;0,15625;0,25
;Reference Optimos;0,987012987012987;0,84375;0,75
;SA;0,06493506493506493;0,1875;0,0
;Tabu Search;0,5844155844155844;0,65625;0,4166666666666667
;PPO;0,36363636363636365;0,0;0,3333333333333333
;Tabu Random;0,012987012987012988;0,03125;0,0
;SA Random;0,012987012987012988;0,125;0,20833333333333334
;PPO Random;0,0;0,0;0,041666666666666664

Avg Cycle Time
;Base;10924190,728079;11498316,154682;11845078,318482
;Reference;11505477,28839413;11360135,582844872;12438262,753821125
;Reference Random;11595106,20262284;11443018,690341761;11625892,843007855
;Reference Optimos;11510016,25024391;11401558,00818013;12432425,067771645
;SA;11523864,35088187;11760911,865952682;11371253,37440175
;Tabu Search;11397259,223317245;11343615,075865038;14404102,380734386
;PPO;11573728,001395633;11892906,212020962;12519200,95152176
;Tabu Random;11899980,666424844;11533807,712111546;11899414,422876557
;SA Random;11487427,00510456;11406146,046808176;11686354,367196785
;PPO Random;11582461,739386495;11581298,140915358;11884449,702466175

Best Cycle Time
;Base;10924190,728079;11498316,154682;11845078,318482
;Reference;10653552,984137;10906582,856819;10908571,545649
;Reference Random;10908046,390168;10867316,032478;10912591,091531
;Reference Optimos;10653552,984137;10906582,856819;10908571,545649
;SA;10899817,136682;11162809,302771;11150692,536991
;Tabu Search;10653552,984137;10906582,856819;10908571,545649
;PPO;10559397,460261;11248319,301775;11182600,341477
;Tabu Random;10924190,728079;10917768,165595;11250920,543347
;SA Random;10908046,390168;10917768,165595;11246504,001438
;PPO Random;10729651,352193;10867316,032478;11250920,543347

Best Batch Processing per Task
;Base;460,6169206150178;479,64599816370753;447,4579737138708
;Reference;37,73862944386608;77,28712501736375;117,93178417699896
;Reference Random;46,42504506332743;77,28712501736375;117,93178417699896
;Reference Optimos;37,73862944386608;107,35390813141467;205,19636253773703
;SA;180,95692690719486;228,50953442294824;401,69098895109624
;Tabu Search;110,89627722012956;107,35390813141467;313,21217146814485
;PPO;37,73862944386608;161,68991480608105;205,19636253773703
;Tabu Random;93,81814850826947;265,3093418230015;367,44072293398807
;SA Random;133,41462084741372;77,28712501736375;117,93178417699896
;PPO Random;46,42504506332743;271,1331716413026;300,3105994973315

Best WT-Idle per Task
;Base;6464,88436453144;6441,327974277902;6478,394014726105
;Reference;5840,442674965187;5849,887488422559;5624,906632814431
;Reference Random;6329,28983174481;5849,887488422559;6665,243627595616
;Reference Optimos;5840,442674965187;5863,784379920654;5624,906632814431
;SA;5840,442674965187;5849,887488422559;6000,727092388088
;Tabu Search;6137,587788404224;6441,327974277902;5746,26662368891
;PPO;6464,88436453144;6711,042783569038;6755,658554103165
;Tabu Random;6464,88436453144;5849,887488422559;6152,131085385774
;SA Random;6329,28983174481;5901,053378377321;6152,131085385774
;PPO Random;6464,88436453144;6711,042783569038;6152,131085385774

Avg Batch Processing per Task
;Base;460,6169206150178;479,64599816370753;447,4579737138708
;Reference;166,56213784774405;222,34137190730033;327,7718693098864
;Reference Random;194,95444892405277;326,89995288747906;380,3294282555741
;Reference Optimos;166,8917261742174;222,305584165252;343,15921191210833
;SA;296,6383766346145;362,2471125125188;434,9267117034186
;Tabu Search;201,05467271745903;200,5829676613265;403,5599996409112
;PPO;126,39751784674904;279,6279063128128;347,8403631513296
;Tabu Random;208,20683408201864;392,67810477831995;415,8793257063489
;SA Random;251,37269566576498;321,8240113639361;367,1451317414829
;PPO Random;154,12888318580983;348,95563025018276;393,95330451337816

Avg WT-Idle per Task
;Base;6464,88436453144;6441,327974277902;6478,394014726105
;Reference;29336,49342144488;66407,34286629964;105811,59549972157
;Reference Random;33216,92315482577;78546,07795499233;63767,06840478131
;Reference Optimos;29336,6143266199;20901,8818251954;84538,66267251267
;SA;17287,186286696382;22564,27170600733;19640,981040149487
;Tabu Search;15251,676202742243;22596,88827084957;33635,002650715076
;PPO;41679,39497447321;45485,720311150515;86799,36448770972
;Tabu Random;36766,943746093464;16590,48685103939;63059,164665486765
;SA Random;34522,91805477836;107017,48577012045;80686,83926483984
;PPO Random;44395,99229208137;19982,52474223079;36702,388575964156

----------------------------------------
Sheet: Purchasing Example
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;492;479;292
;Tabu Search;449;465;47
;PPO;1999;2999;2666
;Tabu Search Random;659;62;51
;Simulated Annealing Random;323;657;413
;PPO Random;1999;2999;2999

# Solutions
;Total Unique;24769;26015;12735
;Total Unique Random;4447;4534;3752
;Total Unique Optimos;20322;21481;8983
;SA;10018;10008;6002
;Tabu Search;9004;9010;1015
;PPO;2001;3001;2667
;Tabu Random;2001;207;174
;SA Random;1001;2003;1268
;PPO Random;2001;3001;3001

# Invalid Solutions Ratio
;Total;0,017077798861480076;0,01391504901018643;0,014998036906164115
;Total Random;0,09197211603328086;0,07498897220996913;0,04664179104477612
;Total Optimos;0,0006889085719909457;0,0010241608863646944;0,0017811421574084382
;SA;0,02305849470952286;0,02168265387689848;0,02299233588803732
;Tabu Search;0,01077298978231897;0,01220865704772475;0,008866995073891626
;PPO;0,00399800099950025;0,005331556147950683;0,007124109486314211
;Tabu Random;0,4032983508245877;0,36231884057971014;0,28735632183908044
;SA Random;0,3936063936063936;0,43734398402396407;0,42665615141955837
;PPO Random;0,0024987506246876563;0,02165944685104965;0,005664778407197601

Pareto Size
;Reference;84;67;21
;Reference Random;63;36;11
;Reference Optimos;84;61;30
;SA;21;34;17
;Tabu Search;62;60;23
;PPO;41;31;9
;Tabu Random;21;15;7
;SA Random;19;21;5
;PPO Random;55;33;11

Hyperarea Ratio
;Reference Random;0,9454635644040378;0,9834525803821855;0,9997404300646666
;Reference Optimos;0,9978689949677827;0,9809859341817255;0,9999890685029951
;SA;0,8183237269998478;0,9765261730881276;0,9999854159545801
;Tabu Search;0,876205927259123;0,9356607709043699;0,9997125672199654
;PPO;0,9736083929870509;0,7975262565242587;0,99098678098168
;Tabu Random;0,8138032879226021;0,7958338187757584;0,9995526976139423
;SA Random;0,849418789912256;0,9146621792318572;0,9997293810661885
;PPO Random;0,9344843114733392;0,9672052217539879;0,9917678754634448

Hausdorff
;Reference Random;8623,00144724525;8140,305074367048;38482,708296327866
;Reference Optimos;1182,9719317883523;8972,150333138365;1701,4332855900868
;SA;11506,7481835223;9414,850745905527;5687,705563491011
;Tabu Search;16494,335841381973;10951,90831299705;2928,718281604078
;PPO;3640,8124185768615;9523,579887302898;32184,79961815581
;Tabu Random;7035,608712443957;9284,329945100382;5852,660729948315
;SA Random;6729,424176005306;10447,493428690614;70349,14151631187
;PPO Random;8762,850962038223;9982,970323300775;22409,182804427666

Delta
;Reference Random;0,9286277396369845;1,1760047458139917;1,1423639284997444
;Reference Optimos;1,3987304006860157;1,0039919436826599;0,8207672518326214
;SA;1,0732850138996068;0,9966169276366192;1,291955919368571
;Tabu Search;0,9903196270368757;0,9692420342379047;0,8506291739081262
;PPO;1,0614695893034194;0,9693840932005583;0,9766385048826308
;Tabu Random;1,164435530853611;1,053930498623941;0,7280122180415153
;SA Random;1,079873049286343;1,1143804222999045;0,9837600780566748
;PPO Random;0,944172126505083;1,0533348298948995;1,0606217160182736

Purity
;Reference Random;0,32142857142857145;0,11940298507462686;0,38095238095238093
;Reference Optimos;0,6785714285714286;0,8805970149253731;0,6190476190476191
;SA;0,08333333333333333;0,08955223880597014;0,14285714285714285
;Tabu Search;0,4166666666666667;0,8059701492537313;0,47619047619047616
;PPO;0,19047619047619047;0,014925373134328358;0,0
;Tabu Random;0,047619047619047616;0,014925373134328358;0,23809523809523808
;SA Random;0,03571428571428571;0,1044776119402985;0,09523809523809523
;PPO Random;0,2619047619047619;0,04477611940298507;0,047619047619047616

Avg Cycle Time
;Base;34307437,683316;34273851,118711;33988137,010588
;Reference;35625578,317152835;35418563,143083654;36667798,110896334
;Reference Random;35365017,14353214;35964278,758915335;36736667,40469563
;Reference Optimos;35408186,90173154;35325624,35027177;36352271,29835343
;SA;35380553,76692472;35672985,33242518;35860683,276149616
;Tabu Search;34868499,42353662;35263349,9147104;36583744,60323391
;PPO;36007578,64013745;35828438,12740483;35644030,245214336
;Tabu Random;35209070,53800556;35211262,66424279;36323646,61726057
;SA Random;35666977,62564316;35342877,92278857;37434647,90261075
;PPO Random;35369977,707126066;36650868,86865567;35462892,97065158

Best Cycle Time
;Base;34307437,683316;34273851,118711;33988137,010588
;Reference;33668470,79491;33819249,207858;34723728,970931
;Reference Random;34226981,048887;34291066,420382;34723728,970931
;Reference Optimos;33242624,601527;33819249,207858;34261631,039847
;SA;33668470,79491;33791557,399944;33988137,010588
;Tabu Search;33242624,601527;33819249,207858;35142270,905668
;PPO;34288824,13429;34273851,118711;34887923,364683
;Tabu Random;33668470,79491;34076614,293479;33988137,010588
;SA Random;33668470,79491;34273851,118711;34872935,939876
;PPO Random;33760787,037515;34273851,118711;33988137,010588

Best Batch Processing per Task
;Base;1992,3346607290225;1924,8989221304344;2010,3694695115416
;Reference;178,91018739700633;642,4606486977816;1031,092007439548
;Reference Random;296,58203719542496;642,4606486977816;1056,2586056396285
;Reference Optimos;178,91018739700633;678,3872152450909;1031,092007439548
;SA;545,1696761161742;678,3872152450909;1031,092007439548
;Tabu Search;449,9413311426206;750,1991523184525;1059,0564949925872
;PPO;178,91018739700633;931,0129624829915;1912,790093260023
;Tabu Random;556,6685405015764;953,6328139405996;1073,5233512360603
;SA Random;480,77656124557194;763,7062659349149;1056,2586056396285
;PPO Random;296,58203719542496;642,4606486977816;1835,3220450253034

Best WT-Idle per Task
;Base;12989,741237907938;13257,85061130861;13449,277087932529
;Reference;12834,44849388627;12885,405299696658;12951,018871296255
;Reference Random;13537,158878366714;12885,405299696658;12951,018871296255
;Reference Optimos;12834,44849388627;13257,85061130861;13370,896399378495
;SA;12834,44849388627;13257,85061130861;13370,896399378495
;Tabu Search;12989,741237907938;13257,85061130861;13009,430194478673
;PPO;12989,741237907938;13257,85061130861;13009,430194478673
;Tabu Random;13188,933744352982;13257,85061130861;13009,430194478673
;SA Random;12989,741237907938;12885,405299696658;12951,018871296255
;PPO Random;12989,741237907938;13257,85061130861;13449,277087932529

Avg Batch Processing per Task
;Base;1992,3346607290225;1924,8989221304344;2010,3694695115416
;Reference;607,270187368747;1312,772160255855;1353,4706734274555
;Reference Random;662,5834862848716;1293,312165000716;1465,7969462302237
;Reference Optimos;722,1726324140268;1295,7720970798166;1498,1476847068657
;SA;1170,6828080943321;1232,3953381633519;1668,3256760845516
;Tabu Search;890,6517054227044;1333,443687736724;1389,5764585158795
;PPO;469,75031552573;1449,3526776013955;1935,4757389907088
;Tabu Random;927,3840874287722;1358,5654638868723;1370,1177612919898
;SA Random;859,1868171865026;1457,2838390517963;1503,6167020412338
;PPO Random;578,2157598806269;1187,178599748068;1916,8389255516715

Avg WT-Idle per Task
;Base;12989,741237907938;13257,85061130861;13449,277087932529
;Reference;40542,15190406689;28276,760228073883;69099,10821345348
;Reference Random;33537,79414846054;49055,00925398092;84396,95640895235
;Reference Optimos;34099,22953026481;24892,050254686073;54684,07310281349
;SA;21223,001008054645;32106,485098005738;42979,413347102556
;Tabu Search;17842,231489185884;22856,095171659017;62688,9712756588
;PPO;57422,09786386522;37344,4140059789;15353,191601225944
;Tabu Random;24094,477210668996;27402,03289176285;63431,76751959335
;SA Random;37772,45352320038;30252,43667655598;122971,79921145263
;PPO Random;37303,31467892444;63053,51181149149;27903,871431093707

----------------------------------------
Sheet: Trafic Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;576;572;597
;Tabu Search;484;275;185
;PPO;4817;7999;999
;Tabu Search Random;867;867;425
;Simulated Annealing Random;867;867;659
;PPO Random;6233;6999;2999

# Solutions
;Total Unique;29251;31082;18247
;Total Unique Random;9201;10102;5078
;Total Unique Optimos;20050;20980;13169
;SA;10002;10008;10007
;Tabu Search;7067;5108;2987
;PPO;4818;8001;1001
;Tabu Random;2625;2625;1296
;SA Random;2624;2624;2001
;PPO Random;6234;7001;3001

# Invalid Solutions Ratio
;Total;0,05517760076578578;0,036033717264011327;0,040773825834383735
;Total Random;0,16269970655363547;0,09710948327063948;0,1415911776289878
;Total Optimos;0,005835411471321696;0,006625357483317445;0,0018983977522970613
;SA;0,04269146170765847;0,052158273381294966;0,057259918057359846
;Tabu Search;0,030564596009622188;0,04483163664839467;0,060595915634415805
;PPO;0,028227480282274803;0,02124734408198975;0,025974025974025976
;Tabu Random;0,5352380952380953;0,49752380952380953;0,46296296296296297
;SA Random;0,5057164634146342;0,4420731707317073;0,45027486256871563
;PPO Random;0,06641000962463908;0,018711612626767606;0,07264245251582806

Pareto Size
;Reference;10;16;22
;Reference Random;8;15;22
;Reference Optimos;5;15;32
;SA;7;3;9
;Tabu Search;4;6;5
;PPO;5;17;29
;Tabu Random;5;15;6
;SA Random;4;3;6
;PPO Random;8;15;22

Hyperarea Ratio
;Reference Random;0,9982713610708728;0,9999949544862143;1,0
;Reference Optimos;0,9984771573186596;0,997659831711797;0,99934922794244
;SA;0,9293980584931608;0,9641270972454463;0,9977282018023318
;Tabu Search;0,9394572830514841;0,9664875907358288;0,9974255390469875
;PPO;0,9984771573186596;0,997659831711797;0,9991118983220028
;Tabu Random;0,9677373817919827;0,9860279061136816;0,9995406608339267
;SA Random;0,964887818903576;0,9960597955702406;0,9996048343949233
;PPO Random;0,9982713610708728;0,9975552370040915;0,9991948515758468

Hausdorff
;Reference Random;30622,376675705767;21885,51580666272;0,0
;Reference Optimos;13820,943080403924;227175,13592609548;148348,658865298
;SA;109146,99915857802;248862,09734300524;309816,73927391914
;Tabu Search;110960,65757523765;237025,86129837442;469460,0037381117
;PPO;13820,943080403924;227175,13592609548;198400,911239061
;Tabu Random;108571,55626861252;114943,75562832995;1203658,636201676
;SA Random;110626,9237077903;96732,89892373887;331225,11933283013
;PPO Random;30622,376675705767;47134,586010924424;166156,71558481618

Delta
;Reference Random;1,5104071679942297;1,0054956373208541;0,9716386756426647
;Reference Optimos;1,40427249867433;1,3345070469174154;0,8811163408109846
;SA;0,8106373302416672;0,9808396465726589;1,2717099765446973
;Tabu Search;0,8972796887835195;0,9342136599163705;0,9517621484838883
;PPO;1,40427249867433;1,3345070469174154;0,8544938216907957
;Tabu Random;0,7932961476569628;0,9794169024155459;1,2182984399450416
;SA Random;0,8292610340296791;0,4969517962418892;0,9117745876834628
;PPO Random;1,5104071679942297;1,0068004685242602;0,8032729854070715

Purity
;Reference Random;0,7;0,3125;1,0
;Reference Optimos;0,3;0,6875;0,0
;SA;0,0;0,0;0,0
;Tabu Search;0,0;0,0;0,0
;PPO;0,3;0,6875;0,0
;Tabu Random;0,0;0,0;0,22727272727272727
;SA Random;0,0;0,125;0,045454545454545456
;PPO Random;0,7;0,1875;0,7272727272727273

Avg Cycle Time
;Base;4406883,205637;4237002,87537;4235563,498915
;Reference;1245508,5273681;3236511,4732183125;11249272,875075998
;Reference Random;832853,83401975;3020570,0964820003;11249272,875075998
;Reference Optimos;2558990,9038042002;12385577,435466064;11269135,074498469
;SA;2334547,681829857;4668437,813307334;60213221,467953116
;Tabu Search;2324422,20337675;10161927,773219202;4546275,161037
;PPO;2558990,9038042002;12385577,435466064;12641990,685477184
;Tabu Random;1781635,1281282;15554223,58849973;54923323,880614996
;SA Random;2594287,503325;6540162,0816543335;19816682,845966164
;PPO Random;832853,8340197501;3400742,0277972003;11422093,123068454

Best Cycle Time
;Base;4406883,205637;4237002,87537;4235563,498915
;Reference;89304,462659;520078,311162;2594306,699806
;Reference Random;89304,462659;520078,311162;2594306,699806
;Reference Optimos;607541,344372;1471187,972254;3890929,725513
;SA;1469943,008399;4150208,856611;3890929,725513
;Tabu Search;1903540,018369;5703105,988683;4147636,365828
;PPO;607541,344372;1471187,972254;4235563,498915
;Tabu Random;866616,17521;1471969,729387;2940590,48489
